Crop,Soil Type,Moisture,Rainfall,Temperature,Irrigation Method,Frequency per Week,Water Amount (L/day)
Carrot,Red,39.6,192.9,37.5,Drip,7,2.5 (per meter of Carrot bed length)
Coffee,Loamy,22.4,163.3,32.4,Drip Irrigation,0,0
Groundnut,Clay,48.0,184.7,22.0,*None Currently*,0,0
Green gram,Red,48.7,247.5,24.7,Monitor soil & irrigate if needed,0 (Monitor Closely),0 (Monitor Closely)
Carrot,Black,40.9,136.0,33.5,Drip,2,1.5
Millets,Black,34.0,272.8,23.3,Furrow/Drip (if needed),0-1 (monitor closely),0-10 (only if needed)
Pulses,Sandy,28.6,52.6,23.1,Drip Irrigation,3,300-400
Banana,Black,29.2,84.0,33.2,Drip,3,8-10
Coffee,Black,39.6,210.6,30.8,Drip,2,4.5
Black gram,Red,42.5,151.7,30.8,Sprinkler,2,15
Okra,Sandy,54.6,126.1,22.1,Drip Irrigation,3,600
Jasmine,Loamy,57.3,132.2,37.8,Drip Irrigation,3,4
Turmeric,Clay,55.0,156.2,37.3,Drip Irrigation,2,1.5
Carrot,Red,42.4,171.5,31.7,Drip,2,2.5
Mango,Black,35.0,68.4,25.0,Drip,2-3,20-30
Mango,Red,57.9,209.2,35.6,Drip,7,14
Brinjal,Clay,21.8,230.0,34.4,Drip,2-3,1.5-2
Millets,Loamy,47.4,53.4,31.5,Drip/Sprinkler,1,3000
Cotton,Black,39.6,209.6,35.3,Drip Irrigation,2,12-15
Banana,Loamy,42.5,256.0,25.0,Drip Irrigation,2,8-10
Brinjal,Loamy,37.5,94.4,28.3,Drip Irrigation,2,1-2 (adjust per plant size)
Pulses,Clay,36.3,178.7,29.6,Drip,1,100-120
Sugarcane,Sandy,27.2,236.3,23.0,Drip Irrigation,3,1000
Green gram,Loamy,30.5,153.4,35.3,Drip,2,9
Green gram,Loamy,54.1,68.3,32.7,Drip/Sprinkler,2,15
Jasmine,Sandy,38.1,300.0,20.8,Drip,3,1.5
Tomato,Red,45.6,83.6,37.4,Drip Irrigation,5,2-3
Carrot,Black,58.1,186.2,21.9,Drip,0-2  (Contingent),0-5 (per meter row)
Green gram,Loamy,30.8,269.4,34.7,Drip irrigation (if needed),0 (Monitor closely),0 (Monitor closely)
Pulses,Black,22.3,79.5,33.2,Drip Irrigation,2,1800
Jasmine,Loamy,32.0,219.4,23.1,Drip Irrigation,1-2,1-1.5
Sugarcane,Red,28.0,189.2,29.0,Furrow Irrigation,2,40
Rice,Red,38.3,244.7,34.7,Surface Irrigation (Flooding),3,25
Chili,Red,38.4,81.7,35.5,Drip,4,2.5
Beans,Loamy,54.3,214.8,26.1,Drip Irrigation,2,2500
Brinjal,Clay,50.1,212.9,35.4,Drip Irrigation,1-2,0.5-1
Beans,Black,49.6,209.3,23.1,Drip,0-1,0-2
Mango,Black,37.1,53.7,37.7,Drip,2,40
Beans,Loamy,48.7,158.8,34.2,Drip Irrigation,3,4-6
Cotton,Sandy,51.7,173.1,30.8,Drip Irrigation,3,8-12
Cabbage,Black,53.9,195.3,35.3,Drip,3,3.5
Black gram,Clay,23.6,289.8,28.8,Drip / Furrow,0-1 (monitor carefully),0-2 (only if required)
Banana,Loamy,46.1,65.1,23.1,Drip Irrigation,3,10
Beans,Loamy,35.5,142.9,36.1,Drip Irrigation,3,15
Green gram,Sandy,31.5,225.2,33.2,Drip,3,5.5
Beans,Black,42.2,147.0,27.1,Furrow Irrigation,2,8
Rice,Sandy,36.2,175.9,36.3,Intermittent Flooding,5,8000
Sugarcane,Clay,28.2,224.8,25.5,Drip,0.25,5
Mango,Loamy,30.5,141.0,20.7,Drip Irrigation,3,50
Tapioca,Red,51.6,106.9,30.7,Drip Irrigation,1,1-2
Chili,Loamy,37.4,193.5,29.1,Drip Irrigation,2,1.5
Rice,Loamy,47.5,220.1,37.1,Continuous Flooding / Intermittent Irrigation,2-3,50-60
Tapioca,Red,37.9,259.0,26.7,Drip Irrigation,0-1,5-10
Green gram,Clay,59.7,87.9,26.5,Drip (If needed),0 (Initially),0 (Initially)
Green gram,Clay,Variable,Variable,26.5,Drip (If needed),1 (If needed),357.14 (If needed)
Millets,Loamy,34.9,265.0,29.5,Furrow,1,18
Coconut,Sandy,34.4,59.8,29.5,Drip Irrigation,5,40
Millets,Black,48.8,140.3,24.1,Drip,0 (monitor),0  (monitor)
Okra,Clay,31.1,254.2,29.2,Drip Irrigation,2,1.5
Turmeric,Loamy,56.1,142.0,22.2,Drip (If needed),0 - 1 (monitor),0.5 - 1.0  (If needed)
Tomato,Loamy,24.9,99.4,21.3,Drip,2,1-2
Groundnut,Black,30.0,265.3,23.5,Furrow/Sprinkler,2,15 - 20
Coconut,Sandy,56.2,57.3,36.3,Drip Irrigation,4,40-60
Beans,Clay,53.1,249.2,22.0,Drip Irrigation,0,0
Carrot,Loamy,38.5,249.2,34.8,Drip Irrigation,2-3,2-3
Coffee,Clay,52.3,90.8,30.3,Drip Irrigation,2,10
Pulses,Loamy,58.5,218.2,35.1,Drip Irrigation,1-2 (Monitor),5-7  (per plant)
Pulses,Clay,21.8,228.8,34.0,Furrow/Drip,1-2,5-7
Mango,Red,39.7,113.5,25.8,Drip Irrigation,3-4 (Adjusted),20-30 (Mature Tree)
Sugarcane,Loamy,47.3,76.9,32.3,Drip Irrigation,3,6.5
