scheme_name,description,eligibility,apply_link,scraped_date
State Balanced Growth Fund (SBGF),Special Schemes are implemented under SBGF for creating infrastructure facilities in Agriculture and Allied sectors to promote balanced growth among the districts. (Information from budget documents).,Generally project based eligibility and applications.,https://tn.gov.in,2025-05-16
Tamil Nadu Watershed Development Agency (TAWDEVA),"Integrated Watershed Management Programme (IWMP) - Focuses on water conservation, soil erosion control, and livelihood improvement in rainfed areas.  Now Pradhan Mantri Krishi Sinchayee Yojana - Watershed Development Component (PMKSY-WDC) ",Farmers and communities in selected watershed areas.,https://tn.gov.in,2025-05-16
Micro Irrigation Scheme,Subsidy for installation of drip and sprinkler irrigation systems.,Small and marginal farmers are prioritised. All farmers are eligible with varying subsidy percentages based on landholding,https://tnagrisnet.tn.gov.in/,2025-05-16
Seed Subsidy Scheme,Subsidized distribution of high-yielding variety seeds to farmers.,Small and marginal farmers are prioritised. All farmers are eligible.,https://tnagrisnet.tn.gov.in/,2025-05-16
Fertilizer Subsidy Scheme,Subsidy on the purchase of fertilizers.,All farmers are eligible.,https://tnagrisnet.tn.gov.in/,2025-05-16
Crop Insurance Scheme (State Specific),State government crop insurance scheme providing additional coverage beyond PMFBY. (Details vary year to year),Farmers cultivating notified crops.,https://tnagrisnet.tn.gov.in/,2025-05-16
Agricultural Machinery Hiring Centers,"Establishment of custom hiring centers for agricultural machinery, allowing farmers to rent equipment.","Farmer groups, entrepreneurs, and cooperative societies.",https://agritech.tnau.ac.in/,2025-05-16
Price Support Scheme (PSS),"Procurement of pulses, oilseeds and copra at Minimum Support Price (MSP).","Farmers growing pulses, oilseeds and copra.",https://tn.gov.in,2025-05-16
Market Intervention Scheme (MIS),Procurement of horticultural commodities and other agricultural products during glut situations or when prices fall below economic levels.,Farmers growing horticultural commodities and other notified crops.,https://tn.gov.in,2025-05-16
Interest Subvention Scheme,Provides interest subvention on agricultural loans to make credit available at affordable rates.,Farmers availing agricultural loans from banks and financial institutions.,https://tn.gov.in,2025-05-16
Agricultural Infrastructure Fund (AIF),Provides medium-long term debt financing facility for investment in viable projects for post-harvest management infrastructure and community farming assets.,"Farmers, agri-entrepreneurs, Farmer Producer Organizations (FPOs), Self Help Groups (SHGs), cooperatives, etc.",https://agricoop.nic.in/en/Agricultural-Infrastructure-Fund,2025-05-16
Tamil Nadu Tankfed Project,Rehabilitates and modernizes tank irrigation systems to improve water availability and agricultural productivity.,Farmers in selected tank command areas.,https://tn.gov.in,2025-05-16
Sugarcane Development Scheme,"Various initiatives to improve sugarcane cultivation, including seed distribution, fertilizer subsidy, and irrigation support.",Sugarcane farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Horticulture Development Scheme,"Promotes the cultivation of fruits, vegetables, flowers, and spices through various interventions, including planting material subsidy, protected cultivation, and post-harvest management.",Horticulture farmers.,https://tnhorticulture.tn.gov.in/,2025-05-16
Coconut Development Scheme,"Supports coconut cultivation through various initiatives, including planting material subsidy, pest and disease management, and value addition.",Coconut farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Oilseeds Development Scheme,"Promotes the cultivation of oilseeds through various interventions, including seed distribution, fertilizer subsidy, and irrigation support.",Oilseed farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Pulses Development Scheme,"Promotes the cultivation of pulses through various interventions, including seed distribution, fertilizer subsidy, and irrigation support.",Pulse farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Cotton Development Scheme,"Supports cotton cultivation through various initiatives, including seed distribution, pest and disease management, and irrigation support.",Cotton farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Tamil Nadu Agricultural University Schemes,Various research and extension programs to improve agricultural practices and productivity.,"Farmers, researchers, and students.",https://agritech.tnau.ac.in/,2025-05-16
Agri Clinics and Agri Business Centres Scheme,Provides support for establishing agri-clinics and agri-business centres to provide extension services and promote entrepreneurship in agriculture.,Agriculture graduates and diploma holders.,https://agritech.tnau.ac.in/,2025-05-16
Farmer Producer Organizations (FPOs) Promotion,Support for the formation and strengthening of Farmer Producer Organizations to improve market access and bargaining power.,Groups of farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Integrated Farming System (IFS) Promotion,Encourages farmers to adopt integrated farming systems to improve resource use efficiency and income.,Farmers with suitable land and resources.,https://tnagrisnet.tn.gov.in/,2025-05-16
Protected Cultivation Promotion,Subsidies and technical assistance for the construction of greenhouses and shade nets.,Farmers interested in protected cultivation.,https://tnhorticulture.tn.gov.in/,2025-05-16
Post-Harvest Management Support,"Subsidies and technical assistance for the construction of pack houses, cold storage units, and processing facilities.","Farmers, entrepreneurs, and cooperative societies.",https://tnagrisnet.tn.gov.in/,2025-05-16
Agricultural Marketing Infrastructure Scheme,"Assistance for developing marketing infrastructure, such as rural godowns, market yards, and grading facilities.","Entrepreneurs, cooperative societies, and government agencies.",https://tnagrisnet.tn.gov.in/,2025-05-16
National Livestock Mission (NLM),"Promotes sustainable livestock development through breed improvement, feed and fodder development, and disease management.",Livestock farmers.,https://dahd.nic.in/schemes/programmes/national-livestock-mission,2025-05-16
Dairy Entrepreneurship Development Scheme (DEDS),Provides financial assistance for setting up dairy farms and related infrastructure.,Entrepreneurs and dairy farmers.,https://dahd.nic.in/,2025-05-16
Fisheries Development Schemes,"Various schemes to promote sustainable fisheries development, including fish seed production, aquaculture, and infrastructure development.",Fishermen and aquaculture farmers.,https://fisheries.tn.gov.in/,2025-05-16
TN Rainfed Area Development Programme (RADP),Comprehensive area development with focus on rain water harvesting and conservation measures. Focus is on livelihoods including agriculture.,Farmers in rainfed areas.,https://tn.gov.in,2025-05-16
Precision Farming Project,Promoting precision farming techniques for efficient use of resources and increased productivity.,Farmers adopting precision farming technologies.,https://agritech.tnau.ac.in/,2025-05-16
Agri Export Zones,Promotion of agricultural exports through the development of agri-export zones.,Exporters and farmers in designated agri-export zones.,https://tnagrisnet.tn.gov.in/,2025-05-16
Tamil Nadu Afforestation Project,To increase the forest cover to 33 % . (Often related to agroforestry support).,"Farmers, communities, and government agencies involved in afforestation activities.",https://tn.gov.in,2025-05-16
National Bamboo Mission (NBM),Promoting bamboo cultivation and utilization for various purposes.,Farmers and entrepreneurs interested in bamboo cultivation and processing.,https://nbm.nic.in/,2025-05-16
Tamil Nadu State Agricultural Marketing Board,Various schemes for improving agricultural marketing infrastructure and promoting market efficiency.,"Farmers, traders, and cooperative societies.",https://tnagrimarketing.gov.in/,2025-05-16
Scheme for Climate Change Adaptation in Agriculture,Supporting farmers to adapt to climate change impacts through various measures.,Farmers in climate-vulnerable areas.,https://tn.gov.in,2025-05-16
Establishment of Regulated Markets,Establishment and strengthening of regulated markets to ensure fair prices for farmers.,Farmers and traders.,https://tnagrimarketing.gov.in/,2025-05-16
Grading and Standardization of Agricultural Products,Promotion of grading and standardization of agricultural products to improve market value.,Farmers and traders.,https://tnagrimarketing.gov.in/,2025-05-16
Strengthening of Agricultural Extension Services,Improving the quality and reach of agricultural extension services to provide farmers with timely information and guidance.,Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Establishment of Farmer Information Centers,Establishment of farmer information centers to provide farmers with access to information on various agricultural schemes and technologies.,Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Promotion of Organic Inputs,Subsidies and technical assistance for the production and use of organic inputs.,Farmers adopting organic farming practices.,https://tnagrisnet.tn.gov.in/,2025-05-16
Bio-Control of Crop Pests and Diseases,Promotion of bio-control methods for managing crop pests and diseases.,Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Promotion of Integrated Pest Management (IPM),Promoting integrated pest management practices to reduce the use of chemical pesticides.,Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Tamil Nadu Rural Transformation Project (TNRTP),Various programmes focusing on rural poverty reduction through livelihoods interventions including agriculture.,Rural communities.,https://tnrtp.org/,2025-05-16
Strengthening of Veterinary Services,Improving the quality and reach of veterinary services to improve livestock health and productivity.,Livestock farmers.,https://ahd.tn.gov.in/,2025-05-16
Animal Disease Control Programme,Implementation of animal disease control programmes to prevent and control livestock diseases.,Livestock farmers.,https://ahd.tn.gov.in/,2025-05-16
Fishermen Welfare Schemes,"Various welfare schemes for fishermen, including housing, insurance, and financial assistance.",Fishermen.,https://fisheries.tn.gov.in/,2025-05-16
Inland Fisheries Development,"Promotion of inland fisheries through various interventions, including fish seed production, aquaculture, and infrastructure development.",Aquaculture farmers.,https://fisheries.tn.gov.in/,2025-05-16
Marine Fisheries Development,"Promotion of marine fisheries through various interventions, including fishing gear improvement, infrastructure development, and sustainable fishing practices.",Fishermen.,https://fisheries.tn.gov.in/,2025-05-16
Tamil Nadu Land Consolidation Act,Facilitates the consolidation of fragmented land holdings to improve agricultural efficiency.,Landowners with fragmented land holdings.,https://tn.gov.in,2025-05-16
Customized Agriculture Scheme for SC/ST,Various agricultural schemes and subsidies targeted specifically towards SC/ST farmers.,SC/ST farmers.,https://tnadw.tn.gov.in/,2025-05-16
Farm Mechanization for SC/ST Farmers,Provides subsidies for the purchase of agricultural machinery specifically for SC/ST farmers.,SC/ST farmers.,https://tnadw.tn.gov.in/,2025-05-16
Dryland Development Programme,Integrated watershed development and livelihood improvement programmes in dryland areas.,Farmers and communities in dryland areas.,https://tn.gov.in,2025-05-16
Scheme for Promotion of Value Addition in Agriculture,Support for establishing value addition units for agricultural produce.,"Farmers, entrepreneurs, and cooperative societies.",https://tnagrisnet.tn.gov.in/,2025-05-16
Coconut Palm Insurance Scheme,Insurance coverage for coconut palms against various risks.,Coconut farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Tamil Nadu Cotton Cultivation Mission,Increasing cotton production and improving the quality of cotton.,Cotton farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Tamil Nadu Banana Special Zone Scheme,Area-specific programme focused on banana cultivation,Banana farmers.,https://tnhorticulture.tn.gov.in/,2025-05-16
Tamil Nadu Cashew Development Scheme,Increasing the production and productivity of cashew nut.,Cashew farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Assistance to Small and Marginal Farmers for Irrigation,Financial assistance to small and marginal farmers for developing irrigation facilities.,Small and marginal farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
National Mission on Edible Oils - Oil Palm (NMEO-OP),Promotion of oil palm cultivation to increase domestic production of edible oils.,Farmers interested in oil palm cultivation.,https://nmeo-op.dac.gov.in/,2025-05-16
Climate Resilient Agriculture,Various programs focusing on making agriculture more resilient to climate change impacts,Farmers.,https://tn.gov.in,2025-05-16
Per Drop More Crop,Water Saving focus under PMKSY,Farmers implementing water conservation measures.,https://pmksy.gov.in/,2025-05-16
Agriculture Technology Management Agency (ATMA),Disseminating agricultural technology and knowledge to farmers through extension services.,Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Farmers Training Centres,Providing training to farmers on various aspects of agriculture.,Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Tamil Nadu Agricultural Technology Portal,Online platform providing information on agricultural technologies and best practices.,Farmers and stakeholders.,https://agritech.tnau.ac.in/,2025-05-16
Remote Sensing Applications in Agriculture,"Using remote sensing technology for crop monitoring, yield estimation, and drought assessment.",Government agencies and researchers.,https://tn.gov.in,2025-05-16
Geographic Information System (GIS) Applications in Agriculture,"Using GIS technology for land use planning, watershed management, and natural resource management.",Government agencies and researchers.,https://tn.gov.in,2025-05-16
Mobile Apps for Farmers,"Development of mobile apps to provide farmers with real-time information on weather, market prices, and crop management.",Farmers.,https://agritech.tnau.ac.in/,2025-05-16
Call Centres for Farmers,Providing farmers with access to agricultural experts through call centres.,Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Establishment of Seed Processing Plants,Assistance for establishing seed processing plants to improve the quality of seeds.,Entrepreneurs and cooperative societies.,https://tnagrisnet.tn.gov.in/,2025-05-16
Establishment of Bio-Fertilizer Production Units,Assistance for establishing bio-fertilizer production units to promote the use of organic fertilizers.,Entrepreneurs and cooperative societies.,https://tnagrisnet.tn.gov.in/,2025-05-16
Establishment of Vermicompost Production Units,Assistance for establishing vermicompost production units to promote the use of organic fertilizers.,"Farmers, entrepreneurs, and cooperative societies.",https://tnagrisnet.tn.gov.in/,2025-05-16
Distribution of Agricultural Implements and Tools,Subsidized distribution of agricultural implements and tools to farmers.,Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Promotion of Energy-Efficient Irrigation Systems,Subsidies and technical assistance for the adoption of energy-efficient irrigation systems.,Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
Agri Business Incubation Centres,Provides incubation support for Agri startups.,Agri Startups.,https://agritech.tnau.ac.in/,2025-05-16
Tamil Nadu Agricultural Produce Marketing (Regulation) Act,Regulates the marketing of agricultural produce to ensure fair prices for farmers.,Farmers and traders.,https://tnagrimarketing.gov.in/,2025-05-16
Uzhavan App,"Single point of contact for all government schemes, advisories and related information for farmers.",Farmers.,https://tnagrisnet.tn.gov.in/,2025-05-16
