Rice,June - July,November - December,Manual,Cut the paddy using a sickle at 80-85% maturity,"Thanjavur, Trichy, Nagapattinam, Thiruvarur, Kanchipuram",120-135,"Clay loam, Alluvial","Canal Irrigation, Tank Irrigation, Well Irrigation",Use high-yield varieties and proper spacing; Apply fertilizers based on soil test recommendations,"Thanjavur, Trichy, Nagapattinam, Thiruvarur, Cuddalore","Canal Irrigation, Tank Irrigation",Use high-yield varieties and proper spacing. Apply zinc sulphate.,"Thanjavur, Trichy, Nagapattinam",120,Clay loam,Canal Irrigation,Use high-yield varieties and proper spacing,Crop Name,Sowing Season,Harvesting Season,Harvesting Method,Harvesting Instructions,Suitable Districts,Duration (days),Soil Type,Irrigation Method,Yield Tips,"Thanjavur, Trichy, Nagapattinam, Thiruvarur",135,"Use high-yield varieties and proper spacing, manage water effectively","Use high-yield varieties, proper spacing, and integrated nutrient management",Use high-yield varieties and proper spacing. Apply fertilizers as per soil test recommendations.,"Thanjavur, Trichy, Madurai",Use high-yield varieties and proper spacing. Manage water effectively.,"Thanjavur, Trichy","Use high-yield varieties and proper spacing, manage pests and diseases effectively"
Mango,June - July (planting),April - June,Manual,Harvest the fruits when they are mature and slightly colored,"Krishnagiri, Dharmapuri, Salem, Tiruvallur, Vellore",Perennial,"Loamy soil, Red sandy loam","Well Irrigation, Rainfed",Control mango hopper; Practice pruning; Apply plant growth regulators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapioca,"June - July, October - November","December - January, April - May",Manual,Harvest the tubers when they are mature and starchy,"Salem, Namakkal, Villupuram, Cuddalore, Dharmapuri",270-300,"Sandy loam, Red loam","Well Irrigation, Rainfed",Provide adequate potassium; Control cassava mosaic disease; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion,"September - October, January - February","December - January, April - May",Manual,Harvest when the tops fall over and the bulbs are mature,"Perambalur, Tiruchirappalli, Dindigul, Theni, Madurai",120-150,"Sandy loam, Loamy soil","Well Irrigation, Drip Irrigation",Provide adequate sulfur; Control thrips; Practice proper curing,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,"June - July, September - October","October - November, January - February",Manual,Harvest when fruits are fully colored and firm,"Dindigul, Krishnagiri, Dharmapuri, Coimbatore, Salem",75-90,"Sandy loam, Red loam","Well Irrigation, Drip Irrigation",Provide staking; Control tomato leaf curl virus; Apply calcium nitrate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brinjal,"June - July, September - October","October - November, January - February",Manual,Harvest when fruits are tender and glossy,"Vellore, Tiruvannamalai, Villupuram, Cuddalore, Kanchipuram",120-150,"Sandy loam, Clay loam","Well Irrigation, Drip Irrigation",Control brinjal shoot and fruit borer; Apply nitrogen fertilizer; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilli,"June - July, September - October","October - November, January - February",Manual,Harvest when fruits are red and dry,"Ramanathapuram, Sivaganga, Virudhunagar, Thoothukudi, Tirunelveli",180-210,"Sandy loam, Red soil","Well Irrigation, Drip Irrigation",Control thrips and mites; Apply potassium fertilizer; Practice proper drying,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladies Finger (Okra),"June - July, September - October","August - September, December - January",Manual,Harvest when pods are tender and green,"Madurai, Dindigul, Theni, Coimbatore, Tiruppur",60-75,"Sandy loam, Loamy soil","Well Irrigation, Drip Irrigation",Control okra shoot and fruit borer; Apply nitrogen fertilizer; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasmine,Throughout the year (planting),Throughout the year (flowering),Manual,Pick the flowers in the early morning before they open,"Madurai, Dindigul, Theni, Virudhunagar, Tirunelveli",Perennial,"Sandy loam, Red loam","Well Irrigation, Drip Irrigation",Provide regular pruning; Apply organic manures; Control bud borer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marigold,"June - July, September - October","August - September, December - January",Manual,Harvest the flowers when they are fully open,"Coimbatore, Dindigul, Krishnagiri, Dharmapuri, Salem",75-90,"Sandy loam, Loamy soil","Well Irrigation, Drip Irrigation",Provide regular pinching; Apply phosphorus fertilizer; Control leaf spot disease,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,Throughout the year (planting),Throughout the year (flowering),Manual,Cut the stems at an angle when the buds are partially open,"Nilgiris, Dindigul, Theni, Coimbatore, Madurai",Perennial,"Sandy loam, Red loam","Well Irrigation, Drip Irrigation",Provide regular pruning; Apply organic manures; Control aphids and thrips,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamom,June - July (planting),October - December (3rd year onwards),Manual,Harvest the capsules when they are mature and green,"Theni, Dindigul, Tirunelveli, Kanyakumari",Perennial,"Forest loam, Red loam","Rainfed, Sprinkler Irrigation",Provide shade; Apply organic manures; Control cardamom thrips,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tea,Throughout the year (planting),Throughout the year (harvesting),Manual,Pluck the two leaves and a bud,"Nilgiris, Coimbatore",Perennial,"Laterite soil, Red loam","Rainfed, Sprinkler Irrigation",Provide shade; Apply nitrogen fertilizer; Control tea mosquito bug,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,June - July (planting),November - February (3rd year onwards),Manual,Pick the ripe cherries,"Dindigul, Theni, Salem, Coimbatore",Perennial,"Laterite soil, Red loam","Rainfed, Sprinkler Irrigation",Provide shade; Apply organic manures; Control coffee berry borer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber,June - July (planting),6-7 years after planting (tapping),Manual,Tap the bark to collect the latex,Kanyakumari,Perennial,"Laterite soil, Red loam",Rainfed,Provide regular tapping; Apply fertilizers; Control diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepper,June - July (planting),January - March (3rd year onwards),Manual,Harvest the spikes when berries turn red,"Theni, Dindigul, Tirunelveli, Kanyakumari",Perennial,"Forest loam, Red loam","Rainfed, Sprinkler Irrigation",Provide support; Apply organic manures; Control pepper quick wilt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesame,"June - July, December - January","September - October, March - April",Manual,Harvest when capsules turn yellow and dry,"Villupuram, Cuddalore, Tiruvannamalai, Vellore, Salem",90-100,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide adequate phosphorus; Control sesame gall midge; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunflower,"June - July, December - January","September - October, March - April","Manual, Mechanical",Harvest when the back of the flower head turns yellow and dry,"Coimbatore, Erode, Karur, Tiruchirappalli, Namakkal",90-100,"Black soil, Sandy loam","Well Irrigation, Drip Irrigation",Ensure proper pollination; Control sunflower head borer; Apply boron fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castor,"June - July, December - January","November - December, May - June",Manual,Harvest when capsules turn brown and dry,"Vellore, Tiruvannamalai, Villupuram, Cuddalore, Salem",180-210,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide adequate nitrogen; Control castor semilooper; Practice intercropping,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorghum,"June - July, September - October","October - November, January - February","Manual, Mechanical",Harvest when grains are hard and dry,"Coimbatore, Dindigul, Perambalur, Ariyalur, Salem",90-120,"Sandy loam, Red soil","Well Irrigation, Rainfed",Ensure proper drainage; Control sorghum shoot fly; Supply adequate nutrients,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumbu (Pearl Millet),"June - July, September - October","October - November, January - February","Manual, Mechanical",Harvest when grains are hard and dry,"Ramanathapuram, Sivaganga, Virudhunagar, Thoothukudi, Tirunelveli",75-90,"Sandy loam, Red soil","Well Irrigation, Rainfed",Ensure proper drainage; Control downy mildew; Supply adequate nutrients,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsegram,"June - July, September - October","October - November, January - February",Manual,Harvest when pods are dry and shatter easily,"Dharmapuri, Krishnagiri, Salem, Vellore, Tiruvannamalai",90-120,"Sandy loam, Red soil",Rainfed,Ensure proper drainage; Control pod borers; Apply phosphorus fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengal Gram (Chickpea),October - November,January - February,Manual,Harvest when pods are yellow and dry,"Theni, Dindigul, Madurai, Virudhunagar, Tirunelveli",90-120,"Black soil, Loamy soil","Well Irrigation, Rainfed",Inoculate seeds with Rhizobium; Control pod borers; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coriander,"June - July, September - October","August - September, December - January",Manual,Harvest when seeds are mature and brown,"Madurai, Dindigul, Theni, Virudhunagar, Tirunelveli",90-120,"Sandy loam, Loamy soil","Well Irrigation, Rainfed",Provide adequate phosphorus; Control aphids; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenugreek,"June - July, September - October","August - September, December - January",Manual,Harvest when pods are yellow and dry,"Theni, Dindigul, Madurai, Virudhunagar, Tirunelveli",90-120,"Sandy loam, Loamy soil","Well Irrigation, Rainfed",Provide adequate phosphorus; Control aphids; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustard,October - November,January - February,"Manual, Mechanical",Harvest when pods are yellow and dry,"Vellore, Tiruvannamalai, Villupuram, Cuddalore, Salem",120-150,"Sandy loam, Loamy soil",Well Irrigation,Provide adequate sulfur; Control aphids; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drumstick,Throughout the year (planting),6-8 months after planting,Manual,Harvest the pods when they are tender and green,"Dindigul, Karur, Perambalur, Trichy, Ariyalur",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control pod borers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arecanut,June - July (planting),7-8 years after planting,Manual,Harvest when nuts are mature and orange-yellow,"Coimbatore, Tirunelveli, Kanyakumari",Perennial,"Laterite soil, Red loam","Rainfed, Well Irrigation",Provide shade; Apply organic manures; Control arecanut mite,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Potato,"June - July, October - November","December - January, April - May",Manual,Harvest the tubers when they are mature and starchy,"Vellore, Tiruvannamalai, Villupuram, Cuddalore, Salem",120-150,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide adequate potassium; Control sweet potato weevil; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla (Indian Gooseberry),June - July (planting),November - December,Manual,Harvest the fruits when they are mature and greenish-yellow,"Krishnagiri, Dharmapuri, Salem, Vellore, Tiruvannamalai",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control fruit fly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guava,June - July (planting),Throughout the year,Manual,Harvest the fruits when they are mature and slightly soft,"Dindigul, Karur, Perambalur, Trichy, Ariyalur",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control fruit fly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapota (Chikoo),June - July (planting),Throughout the year,Manual,Harvest the fruits when they are mature and slightly soft,"Dindigul, Karur, Perambalur, Trichy, Ariyalur",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control fruit fly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackfruit,June - July (planting),Throughout the year,Manual,Harvest the fruits when they are mature and slightly soft,"Dindigul, Karur, Perambalur, Trichy, Ariyalur",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control fruit fly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon,June - July (planting),Throughout the year,Manual,Harvest the fruits when they are mature and yellow,"Dindigul, Karur, Perambalur, Trichy, Ariyalur",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control citrus canker,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,June - July (planting),Throughout the year,Manual,Harvest the fruits when they are mature and orange,"Dindigul, Karur, Perambalur, Trichy, Ariyalur",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control citrus canker,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomegranate,June - July (planting),Throughout the year,Manual,Harvest the fruits when they are mature and red,"Dindigul, Karur, Perambalur, Trichy, Ariyalur",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control fruit fly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custard Apple,June - July (planting),Throughout the year,Manual,Harvest the fruits when they are mature and soft,"Dindigul, Karur, Perambalur, Trichy, Ariyalur",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control fruit fly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaya,June - July (planting),Throughout the year,Manual,Harvest the fruits when they are mature and slightly yellow,"Dindigul, Karur, Perambalur, Trichy, Ariyalur",Perennial,"Sandy loam, Red soil","Well Irrigation, Rainfed",Provide regular pruning; Apply organic manures; Control fruit fly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watermelon,"January - February, June-July","April-May, October-November",Manual,Harvest when the underside of the melon turns yellow,"Ariyalur, Perambalur, Karur, Tiruchirappalli, Dindigul",80-90,Sandy loam,"Well Irrigation, Furrow Irrigation",Ensure proper drainage; Control fruit fly; Apply potassium-rich fertilizers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskmelon,"January - February, June-July","April-May, October-November",Manual,Harvest when the melon slips easily from the vine,"Ariyalur, Perambalur, Karur, Tiruchirappalli, Dindigul",75-85,Sandy loam,"Well Irrigation, Furrow Irrigation",Ensure proper drainage; Control fruit fly; Apply potassium-rich fertilizers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,February - March,January - December (ratoon also),Manual/Mechanical,Harvest when brix value is optimal,,365,Well-drained loamy,,,"Erode, Karur, Namakkal, Tiruchirappalli, Villupuram","Drip Irrigation, Furrow Irrigation",Ensure adequate nutrient management and weed control. Practice ratooning.,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,June - July,November - December,Manual,Pick fully opened bolls,,150-180,"Black soil, Red sandy loam",,,"Virudhunagar, Madurai, Tirunelveli, Thoothukudi, Coimbatore","Drip Irrigation, Rainfed",Monitor pests and diseases regularly. Use Bt cotton varieties.,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,June - July,September - October,Manual/Mechanical,Harvest when pods are mature and kernels are filled,,120-135,"Sandy loam, Red soil",,,"Villupuram, Tiruvannamalai, Vellore, Cuddalore, Salem","Rainfed, Well Irrigation",Apply gypsum at flowering stage. Control leaf spot and rust.,,,,,,,,,,,,,,,,,,,,,,,,
Maize,June - July,September - October,Manual/Mechanical,Harvest when kernels are dented and moisture content is low,,90-100,"Sandy loam, Clay loam",,,"Coimbatore, Dindigul, Theni, Salem, Dharmapuri","Furrow Irrigation, Drip Irrigation",Use hybrid varieties. Apply balanced fertilizers based on soil test.,,,,,,,,,,,,,,,,,,,,,,,,
Blackgram,June - July,September - October,Manual,Harvest when pods turn black and are dry,,60-75,"Sandy loam, Black soil",,,"Thanjavur, Trichy, Villupuram, Cuddalore, Perambalur","Rainfed, Well Irrigation",Control yellow mosaic virus. Provide adequate drainage.,,,,,,,,,,,,,,,,,,,,,,,,
Greengram,June - July,September - October,Manual,Harvest when pods turn yellow and are dry,,60-75,"Sandy loam, Black soil",,,"Thanjavur, Trichy, Villupuram, Cuddalore, Perambalur","Rainfed, Well Irrigation",Control powdery mildew. Provide adequate drainage.,,,,,,,,,,,,,,,,,,,,,,,,
Redgram,June - July,December - January,Manual,Harvest when pods are dry and seeds are mature,,150-180,"Red sandy loam, Black soil",,,"Krishnagiri, Dharmapuri, Salem, Tiruvannamalai, Vellore","Rainfed, Well Irrigation",Control pod borer. Use drought-resistant varieties.,,,,,,,,,,,,,,,,,,,,,,,,
Coconut,Throughout the year,Throughout the year,Manual,Harvest mature nuts at regular intervals,,Perennial,"Sandy loam, Red soil",,,"Coimbatore, Thanjavur, Kanyakumari, Tirunelveli, Pollachi",Drip Irrigation,Provide adequate irrigation and nutrient management. Control rhinoceros beetle.,,,,,,,,,,,,,,,,,,,,,,,,
Banana,Throughout the year,Throughout the year,Manual,Harvest when fingers are full and rounded,,Perennial,"Loamy soil, Clay loam",,,"Trichy, Theni, Tiruchirappalli, Tuticorin, Erode",Drip Irrigation,Provide adequate irrigation and nutrient management. Control Sigatoka leaf spot.,,,,,,,,,,,,,,,,,,,,,,,,
Turmeric,April - May,January - February,Manual,Harvest when leaves turn yellow and dry,,270-300,"Sandy loam, Red soil",,,"Erode, Salem, Karur, Dindigul, Coimbatore","Drip Irrigation, Sprinkler Irrigation",Provide adequate irrigation and nutrient management. Control rhizome rot.,,,,,,,,,,,,,,,,,,,,,,,,
Tapioca,July - August,February - March,Manual,Harvest when tubers are mature,,270-300,"Sandy loam, Red soil",,,"Salem, Namakkal, Dharmapuri, Villupuram, Tiruvannamalai",Well Irrigation,Provide adequate irrigation and nutrient management. Control cassava mosaic disease.,,,,,,,,,,,,,,,,,,,,,,,,
Cashew,Throughout the year,March - May,Manual,Harvest mature nuts that have fallen to the ground,,Perennial,"Sandy loam, Red soil",,,"Cuddalore, Pudukkottai, Sivaganga, Ramanathapuram, Thanjavur",Rainfed,Provide adequate pruning and nutrient management. Control tea mosquito bug.,,,,,,,,,,,,,,,,,,,,,,,,
Mango,Throughout the year,April - June,Manual,Harvest mature fruits before they ripen on the tree,,Perennial,"Sandy loam, Red soil",,,"Krishnagiri, Dharmapuri, Salem, Tiruvannamalai, Vellore",Well Irrigation,Provide adequate irrigation and nutrient management. Control fruit fly.,,,,,,,,,,,,,,,,,,,,,,,,
Jasmine,Throughout the year,Throughout the year,Manual,Pick flowers early in the morning,,Perennial,"Sandy loam, Red soil",,,"Madurai, Dindigul, Theni, Tirunelveli, Virudhunagar",Drip Irrigation,Provide adequate irrigation and nutrient management. Control bud worm.,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,"June - July, January - February","September - October, April - May",Manual,Harvest when fruits are fully ripe and red,,90-100,"Sandy loam, Red soil",,,"Dindigul, Krishnagiri, Dharmapuri, Coimbatore, Salem",Drip Irrigation,Provide adequate irrigation and nutrient management. Control early blight.,,,,,,,,,,,,,,,,,,,,,,,,
Brinjal,"June - July, January - February","September - October, April - May",Manual,Harvest when fruits are tender and glossy,,120-150,"Sandy loam, Red soil",,,"Dindigul, Krishnagiri, Dharmapuri, Coimbatore, Salem",Drip Irrigation,Provide adequate irrigation and nutrient management. Control fruit and shoot borer.,,,,,,,,,,,,,,,,,,,,,,,,
Onion,"June - July, October - November","September - October, January - February",Manual,Harvest when tops fall over and bulbs are mature,,120-150,"Sandy loam, Red soil",,,"Dindigul, Perambalur, Tiruchirappalli, Karur, Namakkal",Drip Irrigation,Provide adequate irrigation and nutrient management. Control thrips.,,,,,,,,,,,,,,,,,,,,,,,,
Chilli,"June - July, January - February","September - October, April - May",Manual,Harvest when fruits are fully ripe and red,,180-210,"Sandy loam, Red soil",,,"Ramanathapuram, Sivaganga, Virudhunagar, Thoothukudi, Tirunelveli",Drip Irrigation,Provide adequate irrigation and nutrient management. Control thrips and mites.,,,,,,,,,,,,,,,,,,,,,,,,
Tapioca,July - August,February-March,Manual,Harvest when tubers reach maturity (8-10 months),,240-300,"Sandy loam, Well-drained",,,"Salem, Namakkal, Erode, Villupuram","Sprinkler irrigation, Well irrigation","Ensure proper spacing, weed management and fertilizer application",,,,,,,,,,,,,,,,,,,,,,,,
Sorghum,June-July,September-October,Manual/Mechanical,Harvest when grain is fully mature and dry,,90-120,"Sandy loam, Black soil",,,"Coimbatore, Erode, Tiruppur, Madurai","Rainfed, Well irrigation","Use hybrid varieties, manage shoot fly and stem borer",,,,,,,,,,,,,,,,,,,,,,,,
Sunflower,February-March,May-June,Manual/Mechanical,Harvest when back of the head turns yellow,,90-100,Well-drained loamy soil,,,"Coimbatore, Erode, Tiruppur, Madurai","Drip irrigation, Well irrigation","Ensure proper pollination, manage head borer",,,,,,,,,,,,,,,,,,,,,,,,
Sesame,June-July,September-October,Manual,Harvest when capsules turn yellow and start to crack,,90-100,"Sandy loam, Alluvial soil",,,"Thanjavur, Nagapattinam, Tiruvarur, Cuddalore","Rainfed, Well irrigation","Control phyllody disease, ensure timely sowing",,,,,,,,,,,,,,,,,,,,,,,,
Castor,June-July,January-February,Manual,Harvest when capsules are mature and dry,,180-240,"Sandy loam, Red soil",,,"Vellore, Tiruvannamalai, Villupuram, Cuddalore","Rainfed, Well irrigation","Prune regularly, control semi-looper and capsule borer",,,,,,,,,,,,,,,,,,,,,,,,
Pulses (General),October-November,January-February,Manual,Harvest when pods are dry and mature,,90-120,"Sandy loam, Red soil",,,Various districts,"Rainfed, Well irrigation","Control pod borer, provide good drainage",,,,,,,,,,,,,,,,,,,,,,,,
Cumbu (Pearl Millet),June-July,September-October,Manual/Mechanical,Harvest when grain is fully mature and dry,,80-90,"Sandy loam, Red soil",,,"Tiruvannamalai, Villupuram, Vellore, Dharmapuri","Rainfed, Well irrigation","Use hybrid varieties, manage downy mildew",,,,,,,,,,,,,,,,,,,,,,,,
Bengal Gram,October-November,January-February,Manual,Harvest when pods are dry and seeds are mature,,110-120,"Black soil, Loamy soil",,,"Theni, Madurai, Dindigul, Virudhunagar","Rainfed, Well irrigation","Control wilt disease, ensure timely sowing",,,,,,,,,,,,,,,,,,,,,,,,
Horse Gram,October-November,January-February,Manual,Harvest when pods are dry and seeds are mature,,90-100,Red sandy soil,,,"Krishnagiri, Dharmapuri, Salem, Erode",Rainfed,Grown mainly in rainfed conditions,,,,,,,,,,,,,,,,,,,,,,,,
Cardamom,June-July,October-November,Manual,Harvest capsules before they are fully ripe,,Perennial,"Loamy soil, Rich in organic matter",,,"Theni, Dindigul, Tirunelveli","Irrigation through sprinklers, Drip irrigation","Ensure adequate shade, manage rhizome rot",,,,,,,,,,,,,,,,,,,,,,,,
Tea,Throughout the year,Throughout the year,Manual,Pluck young shoots regularly,,Perennial,"Acidic soil, Well-drained",,,"Nilgiris, Coimbatore",Sprinkler Irrigation,"Ensure proper shade, regular pruning",,,,,,,,,,,,,,,,,,,,,,,,
Coffee,June-July,November-December,Manual,Harvest ripe berries,,Perennial,Well-drained loamy soil,,,"Dindigul, Theni, Salem","Irrigation through sprinklers, Drip irrigation","Ensure proper shade, manage coffee berry borer",,,,,,,,,,,,,,,,,,,,,,,,
Rubber,Throughout the year,Throughout the year,Manual,Tap the bark to collect latex,,Perennial,Well-drained laterite soil,,,Kanyakumari,Rainfed,"Ensure proper tapping techniques, manage fungal diseases",,,,,,,,,,,,,,,,,,,,,,,,
Pepper,June-July,January-February,Manual,Harvest spikes when berries are mature,,Perennial,Well-drained loamy soil,,,"Theni, Dindigul, Tirunelveli",Drip Irrigation,"Ensure adequate support, manage quick wilt disease",,,,,,,,,,,,,,,,,,,,,,,,
Cloves,June-July,October-November,Manual,Harvest flower buds before they open,,Perennial,Well-drained loamy soil,,,"Tirunelveli, Kanyakumari",Rainfed,"Ensure proper drainage, manage die-back disease",,,,,,,,,,,,,,,,,,,,,,,,
